EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
101400418;0;NE;6487;Val-de-Ruz;Rue du Grandverger;10;2057;0;Villiers;2564384.703;1213924.771;fr
101400419;0;NE;6487;Val-de-Ruz;Rue du Grandverger;8;2057;0;Villiers;2564392.135;1213917.051;fr
101400420;0;NE;6487;Val-de-Ruz;Rue du Grandverger;6;2057;0;Villiers;2564399.599;1213909.413;fr
101400423;0;NE;6487;Val-de-Ruz;Rue du Grandverger;4;2057;0;Villiers;2564407.066;1213901.532;fr
101400551;0;NE;6512;Val-de-Travers;Les Places;23;2127;0;Les Bayards;2529092.101;1197413.651;fr
101401003;0;NE;6512;Val-de-Travers;Rue de l'Orée;2a;2114;0;Fleurier;2535207;1194684;fr
101401019;0;NE;6512;Val-de-Travers;Chemin des Alisiers;7;2114;0;Fleurier;2535499.078;1195129.234;fr
101401265;0;NE;6512;Val-de-Travers;Rue Sandoz-Travers;17;2105;0;Travers;2541608.195;1199179.361;fr
101401266;0;NE;6512;Val-de-Travers;Rue Sandoz-Travers;19;2105;0;Travers;2541619.124;1199213.039;fr
101401281;0;NE;6512;Val-de-Travers;Champ-de-la-Pierre;1;2105;0;Travers;2542018.502;1199465.963;fr
101401284;0;NE;6512;Val-de-Travers;Les Lignières;4;2105;0;Travers;2542167.033;1199458.008;fr
101401287;0;NE;6512;Val-de-Travers;Rue Sandoz-Travers;28;2105;0;Travers;2541659.235;1199253.09;fr
101501681;0;NE;6487;Val-de-Ruz;Rue des Indiennes;1a;2054;0;Chézard-St-Martin;2559948;1212475;fr
101501682;0;NE;6461;La Tène;Les Broillets;4;2075;1;Thielle;2568824.02;1208010.86;fr
101552103;0;NE;6437;Les Ponts-de-Martel;Prairie;10;2316;0;Les Ponts-de-Martel;2546261.684;1205493.305;fr
101552116;0;NE;6487;Val-de-Ruz;Route du Carabinier;1;2206;0;Les Geneveys-sur-Coffrane;2555500.683;1207041.3;fr
101552216;0;NE;6487;Val-de-Ruz;Impasse du Bois-Gentil;2;2206;0;Les Geneveys-sur-Coffrane;2555231.551;1206960.015;fr
101552217;0;NE;6487;Val-de-Ruz;Chemin des Crotêts;4;2206;0;Les Geneveys-sur-Coffrane;2554945.729;1207075.124;fr
101563557;0;NE;6412;Peseux;Chemin Gabriel;5b;2034;0;Peseux;2558364;1204537;fr
190000770;0;NE;6458;Neuchâtel;Rue des Fahys;93;2000;0;Neuchâtel;2562379.483;1205596.008;fr
190000771;0;NE;6458;Neuchâtel;Chemin des Liserons;10;2000;0;Neuchâtel;2562337.857;1205642.666;fr
190001375;0;NE;6436;Le Locle;Rue du Marais;21;2400;0;Le Locle;2547880.067;1212330.037;fr
190001376;0;NE;6437;Les Ponts-de-Martel;Les Combes-Dernier;4;2316;0;Les Ponts-de-Martel;2543463.233;1204065.477;fr
190001380;0;NE;6455;Le Landeron;La Russie;1a;2525;0;Le Landeron;2571993;1211743;fr
190001381;0;NE;6455;Le Landeron;Rue de Nugerol;33;2525;0;Le Landeron;2571507.878;1212232.102;fr
190001413;0;NE;6417;La Grande Béroche;Chemin Alfred-Borel;45;2022;0;Bevaix;2552655.308;1197020.806;fr
190001685;0;NE;6417;La Grande Béroche;Chemin du Lac;4;2022;0;Bevaix;2553173.936;1197433.526;fr
190002176;0;NE;6416;Milvignes;Rue du Puits;2;2014;0;Bôle;2554649.787;1202179.73;fr
190002182;0;NE;6416;Milvignes;Rue du Puits;10;2014;0;Bôle;2554689.458;1202183.332;fr
190002184;0;NE;6416;Milvignes;Rue du Puits;12;2014;0;Bôle;2554692.3;1202182.614;fr
190002186;0;NE;6487;Val-de-Ruz;Chemin des Grillons;3;2057;0;Villiers;2564519.216;1214008.156;fr
190002187;0;NE;6487;Val-de-Ruz;Chemin des Grillons;1;2057;0;Villiers;2564552.314;1214013.591;fr
190002188;0;NE;6512;Val-de-Travers;Rue du Champ-de-la-Pierre;2;2103;0;Noiraigue;2545098.202;1200776.062;fr
190002882;0;NE;6416;Milvignes;Allée des Marronniers;19;2013;0;Colombier NE;2556773.18;1201532.842;fr
190002889;0;NE;6413;Rochefort;Chemin des Tertres;10;2019;2;Chambrelien;2552329.771;1202587.844;fr
190002891;0;NE;6413;Rochefort;Chemin des Tertres;14;2019;2;Chambrelien;2552303.135;1202617.333;fr
190002893;0;NE;6413;Rochefort;Chemin des Tertres;3;2019;2;Chambrelien;2552291.012;1202573.997;fr
190002896;0;NE;6413;Rochefort;Chemin des Tertres;12;2019;2;Chambrelien;2552320.111;1202604.458;fr
190002901;0;NE;6413;Rochefort;Chemin des Tertres;6;2019;2;Chambrelien;2552346.903;1202569.248;fr
190002906;0;NE;6413;Rochefort;Chemin des Tertres;8;2019;2;Chambrelien;2552320.257;1202561.286;fr
190002908;0;NE;6413;Rochefort;Chemin des Tertres;1;2019;2;Chambrelien;2552341.282;1202540.247;fr
190002910;0;NE;6413;Rochefort;Chemin des Tertres;16;2019;2;Chambrelien;2552287.173;1202602.09;fr
190002918;0;NE;6413;Rochefort;Champs-Carrés;8;2019;2;Chambrelien;2552441.675;1202737.381;fr
190003014;0;NE;6453;Enges;Chemin des Esserts;4;2073;0;Enges;2567848.288;1211517.18;fr
190003060;0;NE;6461;La Tène;Les Broillets;8;2075;1;Thielle;2568882.454;1208013.779;fr
190003062;0;NE;6461;La Tène;Les Pacots;29;2075;2;Wavre;2568311.082;1208605.944;fr
190003092;0;NE;6487;Val-de-Ruz;Allée des Erables;4;2053;0;Cernier;2559602.191;1212452.186;fr
190003095;0;NE;6487;Val-de-Ruz;Allée des Erables;3;2053;0;Cernier;2559596.22;1212491.44;fr
190003097;0;NE;6487;Val-de-Ruz;Allée des Erables;10;2053;0;Cernier;2559661.669;1212476.183;fr
190003098;0;NE;6487;Val-de-Ruz;Allée des Erables;8;2053;0;Cernier;2559632.598;1212468.408;fr
190003110;0;NE;6487;Val-de-Ruz;Allée des Erables;9;2053;0;Cernier;2559657.405;1212533.028;fr
190003111;0;NE;6487;Val-de-Ruz;Allée des Erables;7;2053;0;Cernier;2559641.657;1212513.797;fr
190003113;0;NE;6487;Val-de-Ruz;Allée des Erables;2;2053;0;Cernier;2559583.819;1212442.897;fr
190003122;0;NE;6487;Val-de-Ruz;Rue des Indiennes;3;2054;0;Chézard-St-Martin;2559956.875;1212464.866;fr
190003300;0;NE;6487;Val-de-Ruz;Chemin des Pommiers;26;2052;0;Fontainemelon;2558557.747;1211809.409;fr
190003301;0;NE;6487;Val-de-Ruz;Chemin des Pommiers;3;2052;0;Fontainemelon;2558506.011;1211729.077;fr
190003307;0;NE;6487;Val-de-Ruz;Chemin des Pommiers;12;2052;0;Fontainemelon;2558506.49;1211763.426;fr
190003310;0;NE;6487;Val-de-Ruz;Chemin des Pommiers;22;2052;0;Fontainemelon;2558543.248;1211796.927;fr
190003314;0;NE;6487;Val-de-Ruz;Chemin des Pommiers;11;2052;0;Fontainemelon;2558599.537;1211807.136;fr
190003347;0;NE;6487;Val-de-Ruz;Chemin des Lilas;9;2206;0;Les Geneveys-sur-Coffrane;2555507.719;1207011.533;fr
190003348;0;NE;6487;Val-de-Ruz;Chemin des Lilas;7;2206;0;Les Geneveys-sur-Coffrane;2555489.738;1206999.876;fr
190003349;0;NE;6487;Val-de-Ruz;Chemin des Lilas;15;2206;0;Les Geneveys-sur-Coffrane;2555566.051;1206994.938;fr
190003350;0;NE;6487;Val-de-Ruz;Chemin des Lilas;10;2206;0;Les Geneveys-sur-Coffrane;2555498.83;1206974.091;fr
190003351;0;NE;6487;Val-de-Ruz;Chemin des Lilas;8;2206;0;Les Geneveys-sur-Coffrane;2555465.736;1206974.759;fr
190003371;0;NE;6512;Val-de-Travers;Quartier du Bas-du-Village;2;2123;0;St-Sulpice NE;2533906.022;1195623.407;fr
190003408;0;NE;6512;Val-de-Travers;Chemin du Routenin;4;2103;0;Noiraigue;2545820.694;1200760.667;fr
190003435;0;NE;6416;Milvignes;Chemin des Vignes;21;2013;0;Colombier NE;2556048.898;1202346.01;fr
190003462;0;NE;6417;La Grande Béroche;Rue des Petites-Vignes;8;2024;0;St-Aubin-Sauges;2548244.003;1192858.277;fr
190003489;0;NE;6417;La Grande Béroche;Chemin de Fresens;5a;2024;0;St-Aubin-Sauges;2548431;1193170;fr
190003498;0;NE;6417;La Grande Béroche;Chemin de Fresens;5d;2024;0;St-Aubin-Sauges;2548378;1193149;fr
190003706;0;NE;6452;Cressier (NE);Route de Neuchâtel;17a;2088;0;Cressier NE;2569443;1211086;fr
190003707;0;NE;6452;Cressier (NE);Route de Neuchâtel;17b;2088;0;Cressier NE;2569448;1211079;fr
190003708;0;NE;6452;Cressier (NE);Route de Neuchâtel;17c;2088;0;Cressier NE;2569460;1211065;fr
190003709;0;NE;6452;Cressier (NE);Route de Neuchâtel;17d;2088;0;Cressier NE;2569465;1211060;fr
190003730;0;NE;6452;Cressier (NE);Chemin des Ratenets;20a;2088;0;Cressier NE;2569911;1211601;fr
190003731;0;NE;6452;Cressier (NE);Chemin des Ratenets;20b;2088;0;Cressier NE;2569916;1211582;fr
190003732;0;NE;6452;Cressier (NE);Chemin des Ratenets;20c;2088;0;Cressier NE;2569923;1211560;fr
190003734;0;NE;6452;Cressier (NE);Chemin des Ratenets;22b;2088;0;Cressier NE;2569940;1211590;fr
190003735;0;NE;6452;Cressier (NE);Chemin des Ratenets;22c;2088;0;Cressier NE;2569943;1211585;fr
190003736;0;NE;6452;Cressier (NE);En Bas-le-Port;6;2088;0;Cressier NE;2569646.02;1211035.389;fr
190003737;0;NE;6452;Cressier (NE);Chemin des Broillets;2c;2088;0;Cressier NE;2569712;1211040;fr
190003806;0;NE;6407;Corcelles-Cormondrèche;Rue de la Cure;22b;2035;0;Corcelles NE;2557279;1204181;fr
190003807;0;NE;6407;Corcelles-Cormondrèche;Chemin du Cudeau-du-Haut;87;2035;0;Corcelles NE;2556619.183;1203782.807;fr
190003810;0;NE;6407;Corcelles-Cormondrèche;Rue de la Chapelle;14b;2035;0;Corcelles NE;2556950;1203981;fr
190003812;0;NE;6421;La Chaux-de-Fonds;Les Foyards;76;2300;0;La Chaux-de-Fonds;2553723.284;1215792.3;fr
190003813;0;NE;6421;La Chaux-de-Fonds;Les Foyards;80;2300;0;La Chaux-de-Fonds;2553715.062;1215799.25;fr
190003837;0;NE;6421;La Chaux-de-Fonds;Les Foyards;59;2300;0;La Chaux-de-Fonds;2553698.86;1215822.777;fr
190003839;0;NE;6421;La Chaux-de-Fonds;Les Foyards;66;2300;0;La Chaux-de-Fonds;2553704.57;1215770.269;fr
190003841;0;NE;6421;La Chaux-de-Fonds;Les Foyards;47;2300;0;La Chaux-de-Fonds;2553665.725;1215765.818;fr
190003847;0;NE;6421;La Chaux-de-Fonds;Rue Stavay-Mollondin;27a;2300;0;La Chaux-de-Fonds;2553586;1218007;fr
190003864;0;NE;6421;La Chaux-de-Fonds;Rue Stavay-Mollondin;29;2300;0;La Chaux-de-Fonds;2553638.391;1218003.909;fr
190003870;0;NE;6421;La Chaux-de-Fonds;Rue des Ormes;6;2300;0;La Chaux-de-Fonds;2553370;1216187;fr
190003875;0;NE;6421;La Chaux-de-Fonds;Rue des Ormes;8;2300;0;La Chaux-de-Fonds;2553368.267;1216180.448;fr
190003917;0;NE;6421;La Chaux-de-Fonds;Rue des Ormes;10;2300;0;La Chaux-de-Fonds;2553360.264;1216173.557;fr
190003918;0;NE;6421;La Chaux-de-Fonds;Les Joux-Derrière;39f;2300;0;La Chaux-de-Fonds;2552974.848;1219631.72;fr
190004442;0;NE;6451;Cornaux;Chemin des Jardils;3;2087;0;Cornaux NE;2568039.084;1210022.735;fr
190005311;0;NE;6417;La Grande Béroche;Rue de la Fontanette;33;2024;0;St-Aubin-Sauges;2548587.982;1193206.746;fr
190005312;0;NE;6417;La Grande Béroche;Avenue de Neuchâtel;82;2024;0;St-Aubin-Sauges;2549870.373;1194177.743;fr
190005570;0;NE;6454;Hauterive (NE);Route des Longschamps;40;2068;0;Hauterive NE;2564263.974;1206850.852;fr
190006120;0;NE;6421;La Chaux-de-Fonds;Route de l'Orée-du-Bois;87;2300;0;La Chaux-de-Fonds;2554777.544;1216048.371;fr
190006179;0;NE;6421;La Chaux-de-Fonds;Route de l'Orée-du-Bois;100;2300;0;La Chaux-de-Fonds;2554775.322;1216000.575;fr
190006199;0;NE;6421;La Chaux-de-Fonds;Route de l'Orée-du-Bois;99;2300;0;La Chaux-de-Fonds;2554774.553;1215989.209;fr
190006202;0;NE;6421;La Chaux-de-Fonds;Route de l'Orée-du-Bois;89;2300;0;La Chaux-de-Fonds;2554750.421;1216009.315;fr
190006203;0;NE;6421;La Chaux-de-Fonds;Route de l'Orée-du-Bois;90;2300;0;La Chaux-de-Fonds;2554746.971;1216002.999;fr
190006205;0;NE;6421;La Chaux-de-Fonds;Route de l'Orée-du-Bois;91;2300;0;La Chaux-de-Fonds;2554744.812;1215996.848;fr
190006206;0;NE;6421;La Chaux-de-Fonds;Route de l'Orée-du-Bois;92;2300;0;La Chaux-de-Fonds;2554743.755;1215990.039;fr
190006207;0;NE;6421;La Chaux-de-Fonds;Route de l'Orée-du-Bois;93;2300;0;La Chaux-de-Fonds;2554746.999;1215973.437;fr
